stars,comment
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  runs really fast and you can turn the back lit keyboard on or off with F10.  nice screen plenty of ports and dvd drive. shuts down quick this one I have is silver instead of just black. low heat with the computer . nice sized screen very comfortable\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Great laptop.  Very fast and quiet.  Not sure where people say the fan is too load because we can't hear anything.  The only reason I gave it a 4 star is because I was on the phone with Dell for two hours trying to resolve the hard drive issue.  The 1 TB was not showing up on the laptop.  After several transfers from Dell, the right person was able to activate the 1 TB drive.  Everything else was in working order.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  So far, this looks to be the best laptop that I have ever owned. Very fast using M.2 solid state drive for OS and 1 TB HDD for storage. The description says ""no optical drive"", but mine came with a DVD-RW drive. Did I receive the wrong model? The only negative is no C port, but that is just a small negative.\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I have been scammed out of my money by DELL, the most dishonest and incompetent laptop PC manufacturer in the whole world! After 3 weeks I'd bought it here on Amazon, its FAN started to be so NOISY that it could be heard all over my house and could NOT be stopped in any way! By then, one month had gone by and I could no longer return this LEMON. I called Dell, they took the PC, changed the fan, and ... surprise! After just A FEW HOURS, the TRUCK NOISE from the fan returned, even LOUDER than before!! I wanna throw this bird out of the window! I curse you DELL people, you are thieves, you have stolen my hard-earned MONEY, and SHAME ON AMAZON for not taking this LEMON BACK!! I HAVE BEEN SCAMMED OUT OF MY MONEY, may God annihilate Dell and Amazon.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I was looking to replace a 7 year old laptop that seen better days...I looked for months on and off . I add this one to my list because it matched the dimensions of the old laptop with some upgrades and minus other stuff i don't need anymore.  Just like everyone else I was pleased with a new laptop. I had an issue with with Tag # not matching what the software was showing. I called Dell to see what the issue was. The Agent informed me that the laptop was upgrade by an authorized vendor , they forgot to update the Tag # to show it's been upgraded. The Agent then proceeded to tell me the upgrades bumped the cost of the unit from 3 00 to $400 higher than the base unit. I went on Dells website to price it out and he was right ! I got way more than what I paid for it !!!! I have no complaints with the unit aside from the battery life.\n"", '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  Product sold as used. But the announcement said as new. When I received the product, I tried to find out how long I would have to guarantee. Unfortunately I was informed by the service code. That the guarantee had already expired.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n    ', '\n  Muy buen equipo, pero el que recibí aparentemente tiene problema con la memoria ram, pues al instalar un programa nuevo, o exigirle al equipo, el Windows se tranca y sale una pantalla azul de error. Luego del reinicio se autoresuelve, pero resulta algo incómodo que te suceda frecuentemente\n', '\n  \n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I was so excited when I ordered my new Dell!  I\'ve bought 3 previous Dells and absolutely LOVED them.  After doing due diligence on different models, etc. I settled on this one.  It was a good price and I trusted Dell.  Literally, from the time I plugged it in and pushed the start button, NOTHING HAPPENED.  I waited about  15 minutes, thinking maybe it just needed to be plugged in awhile. It DID turn on, but then it was just a black screen.  I waited and waited.  I finally looked at the clock,  and after 4 minutes 38 seconds, I did get up and functioning.  But really I figured  from the time I turned it on, till it finally came on, it probably about 8 minutes!!  This was replacing my ""old"" Dell Latitude E5450, which I have owned for over 5 years.  I wanted a new, FAST computer.  This is NOT what I  got.  It took forever for a site to load.  When I tried to close down a page, I\'d click on the X and wait, and wait and wait.  Let me say this, I use my laptop for keeping touch with friends/family, research recipes, couponing, sharing photos.  I DO NOT DOWNLOAD GAMES, STREAM VIDEOS, OR DOWNLOAD MUSIC.  I don\'t watch tv shows.  I just wanted a fast computer!  I tried deleting all the ""bloat hardware"", but it didn\'t help.  I love the touch screen, screen size, battery life.  But this is running like crap.  I\'m going to return it.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I was going to return this at first because I thought I just had to have a brand new computer and didn't notice it was a used laptop. I had contacted the seller and everything about returning it, they said I could no problem. But when I got it I decided to check it out. I am glad I did. I got everything I wanted in a very good laptop for less than I would have spent for a brand new one. It was in brand new condition too. No scratches or anything. My wireless mouse didn't work in one of the ports, but does work in the others on the opposite site which actually worked out better. The touchscreen comes in handy too at times. Recorded sound quality is good. The recording video quality could have been a bit better, but all in all I am very pleased with this laptop.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  Literally the only thing I would say about this laptop is that I wish the touchscreen was just a little more responsive. Don't get me wrong, it's still a great touchscreen, I just wish it registered the touches just a little more accurately. Other than that, the laptop is super fast and I haven't had any issues. I was a little hesitant to by a Dell, because I thought gaming brands like ASUS might be better constructed, but going forward I will definitely consider Dell!! This has been the best laptop I've owned so far.\n"", '\n  \n']"
